id,postal_code,region,province,type_of_property,price,number_of_bedrooms,surface,kitchen_type,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building,priceperm2
10068682,7370,Wallonia,Hainaut,HOUSE,149000.0,3.0,105.0,1.0,0.0,0,1.0,,,,290.0,2.0,0.0,2.0,1419.047619047619
9987425,7000,Wallonia,Hainaut,HOUSE,300000.0,0.0,140.0,,0.0,0,,,,,0.0,2.0,,,2142.8571428571427
10133513,8870,Flanders,West Flanders,HOUSE,209000.0,2.0,153.0,1.0,1.0,0,1.0,10.0,1.0,161.0,237.0,2.0,0.0,,1366.013071895425
10054320,8620,Flanders,West Flanders,APARTMENT,395000.0,2.0,90.0,,,0,1.0,,,,,,0.0,,4388.888888888889
10087625,7100,Wallonia,Hainaut,HOUSE,295000.0,3.0,152.0,1.0,0.0,0,1.0,,1.0,164.0,242.0,2.0,,,1940.7894736842106
9907321,3200,Flanders,Flemish Brabant,HOUSE,357522.0,3.0,137.0,,,0,,,,,432.0,4.0,,,2609.6496350364964
10134899,3500,Flanders,Limburg,HOUSE,695000.0,5.0,343.0,1.0,0.0,1,,,,,2233.0,4.0,,1.0,2026.2390670553937
10104299,1600,Flanders,Flemish Brabant,APARTMENT,253500.0,2.0,88.0,,,0,,,,,,,,3.0,2880.681818181818
10064225,4210,Wallonia,Liège,HOUSE,229000.0,3.0,115.0,1.0,0.0,0,1.0,46.0,1.0,,2210.0,3.0,,1.0,1991.304347826087
9652001,1070,Brussels,Brussels,APARTMENT,160000.0,0.0,55.0,,,0,,,,,,,,3.0,2909.090909090909
10095617,1070,Brussels,Brussels,APARTMENT,259000.0,2.0,95.0,1.0,0.0,0,1.0,2.0,,,,,0.0,2.0,2726.315789473684
10126513,1170,Brussels,Brussels,HOUSE,700000.0,4.0,160.0,,0.0,0,1.0,9.0,1.0,90.0,232.0,3.0,0.0,,4375.0
10095154,2600,Flanders,Antwerp,APARTMENT,399000.0,1.0,135.0,1.0,0.0,0,1.0,,,,,,,,2955.5555555555557
9660155,4100,Wallonia,Liège,HOUSE,274000.0,3.0,156.0,,0.0,0,1.0,20.0,1.0,90.0,215.0,,,2.0,1756.4102564102564
10096311,9300,Flanders,East Flanders,HOUSE,179000.0,2.0,155.0,1.0,0.0,0,,,1.0,,320.0,,0.0,1.5,1154.8387096774193
10078507,6700,Wallonia,Luxembourg,APARTMENT,199000.0,2.0,150.0,1.5,,0,,,,,,1.0,0.0,3.0,1326.6666666666667
9973467,1050,Brussels,Brussels,APARTMENT,2450000.0,6.0,360.0,2.5,0.0,0,1.0,,,,,2.0,0.0,2.0,6805.555555555556
9829431,2390,Flanders,Antwerp,HOUSE,529000.0,3.0,198.0,1.5,0.0,0,1.0,,,,1138.0,4.0,,2.0,2671.717171717172
10097148,1341,Wallonia,Walloon Brabant,HOUSE,425000.0,3.0,95.0,1.0,0.0,0,1.0,33.0,,,882.0,4.0,,2.0,4473.684210526316
10097969,9120,Flanders,East Flanders,HOUSE,349000.0,3.0,206.0,1.0,0.0,0,,,,,342.0,2.0,,1.5,1694.1747572815534
10089309,8790,Flanders,West Flanders,HOUSE,645000.0,2.0,220.0,,0.0,0,,,1.0,200.0,326.0,2.0,0.0,2.0,2931.818181818182
10120144,9032,Flanders,East Flanders,HOUSE,375000.0,4.0,182.0,1.0,0.0,1,1.0,40.0,,,252.0,2.0,,2.0,2060.4395604395604
10094107,2630,Flanders,Antwerp,HOUSE,675000.0,4.0,276.0,,,0,1.0,,1.0,230.0,418.0,3.0,,,2445.6521739130435
